Country name,Unemployment rate
Aruba,
Africa Eastern and Southern,8.1117826
Afghanistan,13.28299999
Africa Western and Central,6.839008647
Angola,8.529999733
Albania,11.81900024
Andorra,
Arab World,11.62534402
United Arab Emirates,3.35800004
Argentina,10.90200043
Armenia,20.89699936
American Samoa,
Antigua and Barbuda,
Australia,5.111999989
Austria,6.301000118
Azerbaijan,6.583000183
Burundi,1.792000055
Belgium,6.420000076
Benin,1.574000001
Burkina Faso,4.757999897
Bangladesh,5.229000092
Bulgaria,5.423999786
Bahrain,1.873999953
"Bahamas, The",13.23900032
Bosnia and Herzegovina,15.21500015
Belarus,4.736000061
Belize,8.218999863
Bermuda,
Bolivia,8.508999825
Brazil,14.40299988
Barbados,10.41300011
Brunei Darussalam,7.649000168
Bhutan,4.331999779
Botswana,24.72200012
Central African Republic,6.574999809
Canada,7.510000229
Central Europe and the Baltics,4.503917027
Switzerland,5.321000099
Channel Islands,7.369999886
Chile,9.128000259
China,4.816999912
Ivory Coast,3.467999935
Cameroon,3.86500001
"Congo, Dem. Rep.",5.426000118
Congo (Brazzaville),23.01099968
Colombia,14.33600044
Comoros,9.44699955
Cabo Verde,15.42300034
Costa Rica,17.95400047
Caribbean small states,9.763585566
Cuba,2.756000042
Curacao,
Cayman Islands,
Cyprus,6.130000114
Czech Republic,2.887000084
Germany,3.535000086
Djibouti,28.38599968
Dominica,
Denmark,4.797999859
Dominican Republic,8.49600029
Algeria,12.70400047
East Asia & Pacific (excluding high income),4.292848931
Early-demographic dividend,6.486884225
East Asia & Pacific,4.202061301
Europe & Central Asia (excluding high income),7.635496454
Europe & Central Asia,7.114943714
Ecuador,6.427000046
Egypt,9.329000473
Euro area,7.767011192
Eritrea,8.046999931
Spain,14.7329998
Estonia,6.330999851
Ethiopia,3.694000006
European Union,7.044628684
Fragile and conflict affected situations,7.60224461
Finland,7.525000095
Fiji,5.238999844
France,8.062999725
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,22.26499939
United Kingdom,4.526000023
Georgia,10.6590004
Ghana,4.703999996
Gibraltar,
Guinea,6.342000008
Gambia,11.21199989
Guinea-Bissau,6.758999825
Equatorial Guinea,9.244999886
Greece,14.79500008
Grenada,
Greenland,
Guatemala,3.572000027
Guam,6.982999802
Guyana,16.42499924
High income,5.651806721
Hong Kong S.A.R. of China,5.315000057
Honduras,8.512999535
Heavily indebted poor countries (HIPC),5.661177778
Croatia,8.682999611
Haiti,15.72599983
Hungary,4.116000175
IBRD only,6.436146028
IDA & IBRD total,6.304753759
IDA total,5.871690827
IDA blend,6.654428748
Indonesia,4.413000107
IDA only,5.525142901
Isle of Man,
India,5.978000164
Not classified,
Ireland,6.632999897
Iran,11.46100044
Iraq,14.19200039
Iceland,5.401000023
Israel,5.045000076
Italy,9.833999634
Jamaica,9.18200016
Jordan,19.25200081
Japan,2.799000025
Kazakhstan,4.900000095
Kenya,5.742000103
Kyrgyzstan,9.104000092
Cambodia,0.611999989
Kiribati,
St. Kitts and Nevis,
South Korea,3.532000065
Kuwait,3.713999987
Latin America & Caribbean (excluding high income),10.13507308
Laos,1.258000016
Lebanon,14.48799992
Liberia,4.09499979
Libya,19.58399963
St. Lucia,16.90500069
Latin America & Caribbean,9.96169716
Least developed countries: UN classification,5.552541512
Low income,5.85062995
Liechtenstein,
Sri Lanka,5.394999981
Lower middle income,5.887554079
Low & middle income,6.290812071
Lesotho,24.59799957
Late-demographic dividend,5.792753409
Lithuania,7.902999878
Luxembourg,5.227000237
Latvia,7.599999905
"Macao SAR, China",3.013999939
St. Martin (French part),
Morocco,11.46700001
Monaco,
Moldova,3.961999893
Madagascar,2.594000101
Maldives,6.078000069
Middle East & North Africa,10.53048794
Mexico,4.379000187
Marshall Islands,
Middle income,6.335950197
North Macedonia,16.20299911
Mali,7.71999979
Malta,3.499000072
Myanmar,2.173000097
Middle East & North Africa (excluding high income),12.18869529
Montenegro,18.48699951
Mongolia,7.081999779
Northern Mariana Islands,
Mozambique,3.982000113
Mauritania,11.4630003
Mauritius,7.414000034
Malawi,7.020999908
Malaysia,4.609000206
North America,5.695046843
Namibia,21.6779995
New Caledonia,16.5720005
Niger,0.750999987
Nigeria,9.788000107
Nicaragua,5.956999779
Netherlands,4.010000229
Norway,4.985000134
Nepal,5.052000046
Nauru,
New Zealand,4.124000072
OECD members,6.3345547
Oman,3.121999979
Other small states,10.98367954
Pakistan,4.352000237
Panama,12.0880003
Peru,4.833000183
Philippines,2.405999899
Palau,
Papua New Guinea,2.752000093
Poland,3.368000031
Pre-demographic dividend,7.074955658
Puerto Rico,8.270999908
"Korea, Dem. People's Rep.",2.592000008
Portugal,6.646999836
