Country,Happiness score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,IS_HAPPY,Index of institutional trust,Gini coefficient of income,2021,latitude,longitude
Afghanistan,2.523,7.695,0.46299999999999997,52.493,0.382,-0.102,0.924,0,0.046,31,13.28299999,33.93911,67.709953
Albania,5.117,9.52,0.6970000000000001,68.999,0.785,-0.03,0.9009999999999999,0,0.15,28.96,11.81900024,41.153332,20.168331
United Arab Emirates,6.561,11.085,0.8440000000000001,67.333,0.932,0.07400000000000001,0.589,1,0.6940000000000001,38.3,3.35800004,23.424076,53.847818000000004
Argentina,5.928999999999999,9.962,0.898,69,0.828,-0.182,0.8340000000000001,1,0.091,39.6,10.90200043,-38.416097,-63.616671999999994
Armenia,5.2829999999999995,9.487,0.799,67.055,0.825,-0.168,0.629,0,0.174,33.62,20.89699936,40.069099,45.038189
Australia,7.183,10.796,0.94,73.9,0.914,0.159,0.442,1,0.335,33,5.111999989,-25.274398,133.775136
Austria,7.268,10.905999999999999,0.934,73.3,0.9079999999999999,0.042,0.48100000000000004,1,0.358,26.8,6.301000117999999,47.516231,14.550072
Azerbaijan,5.171,9.568999999999999,0.836,65.656,0.8140000000000001,-0.223,0.506,0,0.35200000000000004,26.6,6.583000182999999,40.143105,47.57692700000001
Burundi,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,0,0.293,38.62,1.792000055,-3.3730559999999996,29.918885999999997
Belgium,6.834,10.823,0.9059999999999999,72.199,0.7829999999999999,-0.153,0.6459999999999999,1,0.303,25.6,6.420000076,50.503887,4.469936
Benin,5.045,8.087,0.489,54.713,0.757,-0.034,0.6609999999999999,0,0.39799999999999996,47.76,1.574000001,9.30769,2.315834
Burkina Faso,4.834,7.678,0.672,54.151,0.695,-0.009000000000000001,0.748,0,0.359,35.3,4.7579998969999995,12.238333,-1.561593
Bangladesh,5.025,8.454,0.693,64.8,0.877,-0.040999999999999995,0.682,0,0.5770000000000001,43.973,5.229000092,23.684994,90.35633100000001
Bulgaria,5.266,10.016,0.9309999999999999,67,0.7879999999999999,-0.096,0.932,0,0.073,39.6,5.423999786,42.733883,25.48583
Bahrain,6.647,10.669,0.862,69.495,0.925,0.08900000000000001,0.722,1,0.48700000000000004,59.6,1.8739999530000002,25.93041400000001,50.637772
Bosnia and Herzegovina,5.813,9.59,0.87,68.098,0.706,0.113,0.9309999999999999,1,0.064,33.03,15.21500015,43.915886,17.679076000000006
Belarus,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,1,0.242,25.44,4.736000061,53.709807,27.953389
Bolivia,5.716,9.046,0.81,63.901,0.875,-0.077,0.8390000000000001,1,0.10099999999999999,43.8,8.508999825,-16.290154,-63.588653
Brazil,6.33,9.577,0.882,66.601,0.804,-0.071,0.7559999999999999,1,0.115,54,14.40299988,-14.235004,-51.92528
Botswana,3.467,9.782,0.784,59.269,0.8240000000000001,-0.24600000000000002,0.8009999999999999,0,0.435,53.33,24.72200012,-22.328474,24.684866
Canada,7.103,10.776,0.9259999999999999,73.8,0.915,0.08900000000000001,0.415,1,0.48200000000000004,35.25,7.510000229,56.130366,-106.34677099999999
Switzerland,7.571000000000001,11.117,0.9420000000000001,74.4,0.919,0.025,0.292,1,0.66,30.1,5.321000099,46.818188,8.227511999999999
Chile,6.172000000000001,10.071,0.882,70,0.742,-0.044000000000000004,0.83,1,0.09699999999999999,45.92,9.128000259,-35.675146999999996,-71.542969
China,5.3389999999999995,9.673,0.8109999999999999,69.593,0.904,-0.146,0.755,0,0.516,46.7,4.816999912,35.86166,104.195397
Ivory Coast,5.306,8.551,0.644,50.114,0.741,-0.016,0.794,0,0.285,48.593999999999994,3.467999935,,
Cameroon,5.142,8.189,0.71,53.515,0.731,0.026000000000000002,0.848,0,0.281,46.64,3.86500001,7.369722,12.354722
Congo (Brazzaville),5.3420000000000005,8.117,0.636,58.221000000000004,0.695,-0.068,0.745,0,0.23800000000000002,48.94,23.01099968,,
Colombia,6.0120000000000005,9.557,0.847,68.001,0.8370000000000001,-0.135,0.841,1,0.113,52,14.33600044,4.570868,-74.297333
Comoros,4.289,8.031,0.626,57.349,0.5479999999999999,0.08199999999999999,0.7809999999999999,0,0.139,45.33,9.44699955,-11.875001,43.872219
Costa Rica,7.069,9.88,0.8909999999999999,71.4,0.934,-0.126,0.809,1,0.213,48.6,17.95400047,9.748917,-83.753428
Cyprus,6.223,10.575999999999999,0.802,73.898,0.763,-0.015,0.8440000000000001,1,0.174,29.1,6.1300001139999996,35.126413,33.429859
Czech Republic,6.965,10.556,0.9470000000000001,70.807,0.858,-0.20800000000000002,0.868,1,0.29,24,2.887000084,49.817492,15.472961999999999
Germany,7.155,10.873,0.903,72.5,0.875,0.011000000000000001,0.46,1,0.435,31.1,3.535000086,51.165690999999995,10.451526
Denmark,7.62,10.933,0.9540000000000001,72.7,0.946,0.03,0.179,1,0.5720000000000001,27.8,4.797999859,56.26392,9.501785
Dominican Republic,5.545,9.802,0.853,66.102,0.86,-0.133,0.7140000000000001,1,0.19899999999999998,44.4,8.49600029,18.735692999999998,-70.162651
Algeria,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,0,0.415,27.62,12.70400047,28.033886,1.6596259999999998
Ecuador,5.763999999999999,9.312999999999999,0.821,68.8,0.8420000000000001,-0.124,0.843,1,0.205,45.4,6.427000046,-1.8312389999999998,-78.183406
Egypt,4.283,9.367,0.75,61.998000000000005,0.7490000000000001,-0.182,0.795,0,0.446,31.56,9.329000472999999,26.820553000000004,30.802497999999996
Spain,6.4910000000000005,10.571,0.932,74.7,0.7609999999999999,-0.081,0.745,1,0.14300000000000002,33.2,14.732999800000002,40.463667,-3.7492199999999998
