latitude,longitude,Country,Happiness score
33.93911,67.709953,Afghanistan,2.523
41.153332,20.168331,Albania,5.117
28.033886,1.6596259999999998,Algeria,4.887
-14.270972,-170.132217,American Samoa,
42.546245,1.6015540000000001,Andorra,
-11.202691999999999,17.873887,Angola,
18.220554,-63.068615,Anguilla,
-75.250973,-0.071389,Antarctica,
17.060816,-61.79642800000001,Antigua and Barbuda,
-38.416097,-63.616671999999994,Argentina,5.928999999999999
40.069099,45.038189,Armenia,5.2829999999999995
12.52111,-69.968338,Aruba,
-25.274398,133.775136,Australia,7.183
47.516231,14.550072,Austria,7.268
40.143105,47.57692700000001,Azerbaijan,5.171
25.03428,-77.39628,Bahamas,
25.93041400000001,50.637772,Bahrain,6.647
23.684994,90.35633100000001,Bangladesh,5.025
13.193887,-59.543198,Barbados,
53.709807,27.953389,Belarus,5.534
50.503887,4.469936,Belgium,6.834
17.189877,-88.49765,Belize,
9.30769,2.315834,Benin,5.045
32.321384,-64.75737,Bermuda,
27.514162,90.433601,Bhutan,
-16.290154,-63.588653,Bolivia,5.716
43.915886,17.679076000000006,Bosnia and Herzegovina,5.813
-22.328474,24.684866,Botswana,3.467
-54.423199,3.4131940000000003,Bouvet Island,
-14.235004,-51.92528,Brazil,6.33
-6.343194,71.87651899999999,British Indian Ocean Territory,
18.420695000000002,-64.63996800000001,British Virgin Islands,
4.535277,114.72766899999999,Brunei,
42.733883,25.48583,Bulgaria,5.266
12.238333,-1.561593,Burkina Faso,4.834
-3.3730559999999996,29.918885999999997,Burundi,3.775
12.565679,104.990963,Cambodia,4.83
7.369722,12.354722,Cameroon,5.142
56.130366,-106.34677099999999,Canada,7.103
16.002082,-24.013197,Cape Verde,
19.513469,-80.566956,Cayman Islands,
6.611111,20.939444,Central African Republic,
15.454166,18.732207,Chad,4.355
-35.675146999999996,-71.542969,Chile,6.172000000000001
35.86166,104.195397,China,5.3389999999999995
-10.447525,105.690449,Christmas Island,
-12.164164999999999,96.870956,Cocos [Keeling] Islands,
4.570868,-74.297333,Colombia,6.0120000000000005
-11.875001,43.872219,Comoros,4.289
-4.0383330000000015,21.758664000000003,Congo [DRC],
-0.228021,15.827658999999999,Congo [Republic],
-21.236735999999997,-159.777671,Cook Islands,
9.748917,-83.753428,Costa Rica,7.069
45.1,15.2,Croatia,5.882000000000001
21.521757,-77.78116700000002,Cuba,
35.126413,33.429859,Cyprus,6.223
49.817492,15.472961999999999,Czech Republic,6.965
7.539989,-5.54708,Côte d'Ivoire,
56.26392,9.501785,Denmark,7.62
11.825138,42.590275,Djibouti,
15.414999,-61.370976,Dominica,
18.735692999999998,-70.162651,Dominican Republic,5.545
-1.8312389999999998,-78.183406,Ecuador,5.763999999999999
26.820553000000004,30.802497999999996,Egypt,4.283
13.794185,-88.89653,El Salvador,6.061
1.6508009999999995,10.267895,Equatorial Guinea,
15.179383999999999,39.78233400000001,Eritrea,
58.595271999999994,25.013607,Estonia,6.189
9.145,40.489672999999996,Ethiopia,4.275
-51.796253,-59.523613,Falkland Islands [Islas Malvinas],
