"country","netGini","wealthGini","medianIncome","povertyRate"
"South Africa","57.7000","86.7000","4.7000","35.9000"
"Namibia","55","91","3.5000","47"
"Sri Lanka","51.4000","66.5000","5.5000","16.1000"
"China","51","78.9000","7.7000","12.1000"
"Zambia","49.5000","81","1.6000","74.3000"
"Lesotho","49.3000","79.8000","1.5000","78"
"Colombia","48.9000","74.2000","9","13.1000"
"Honduras","48.3000","","4.8000","34.8000"
"Philippines","47.9000","83.9000","5","33.7000"
"India","47.9000","83","2.9000","60.4000"
"Egypt","47","91.7000","4.9000","16.1000"
"Panama","46.1000","76.3000","14.5000","7"
"Chile","45.9000","78.6000","14.2000","3.1000"
"Mexico","45.9000","73.2000","6.9000","11.8000"
"Costa Rica","45.7000","69.4000","14.5000","4.2000"
"Indonesia","45.7000","83.7000","4.6000","33.8000"
"Peru","45.4000","77.8000","10.3000","9.3000"
"Paraguay","44.9000","75.2000","11.7000","7.4000"
"Brazil","44.9000","83.2000","11.2000","9.3000"
"Tajikistan","44.7000","53.5000","5.3000","20"
"Dominican Republic","44.6000","0","9.8000","6.9000"
"Guatemala","44.5000","","5.6000","25.3000"
"Rwanda","44.3000","73","1.6000","81.5000"
"Russia","43.9000","82.6000","17.1000","0.3000"
"Thailand","43.7000","85.1000","11.2000","1.1000"
"Bolivia","43.5000","74.2000","9.3000","12.9000"
"Nicaragua","43.2000","71.9000","7.4000","13.8000"
"Malaysia","42.8000","82","14.1000","3.1000"
"Tanzania","42.2000","55.2000","1.9000","79"
"Vietnam","42.2000","74.5000","6.8000","11.6000"
"Kenya","41.6000","77.2000","",""
"Laos","41.1000","84.9000","2.9000","58.5000"
"Georgia","40.5000","66.8000","5.1000","25.3000"
"Jordan","40","76.1000","8.7000","2.1000"
"Mozambique","39.9000","71.1000","1.4000","88.5000"
"Singapore","39.8000","73.3000","",""
"Zimbabwe","39.8000","73","3.4000","47.2000"
"Cameroon","39.8000","74.1000","3.6000","45"
"Turkey","39.8000","81.8000","13.1000","2.4000"
"Nepal","39.5000","67.3000","3.2000","50.9000"
"Bangladesh","39.5000","57.9000","2.9000","59.2000"
"Nigeria","39","69.5000","1.8000","77.6000"
"El Salvador","38.9000","65.7000","7.6000","9.8000"
"Iran","38.8000","67.3000","12.5000","2.5000"
"Albania","38.6000","44.8000","6.5000","7.7000"
"Argentina","38.6000","72.3000","14.6000","4.5000"
"Chad","38.3000","69.3000","2.4000","66.5000"
"Ghana","38.3000","66.1000","4.4000","34.9000"
"Mongolia","37.8000","57","8.9000","3.2000"
"United States","37.8000","85.9000","48.9000","16.8000"
"Uganda","37.6000","68.6000","2.5000","66.6000"
"Malawi","37.3000","73.7000","1.3000","88.4000"
"Madagascar","37.2000","67.1000","1.1000","91.1000"
"Uruguay","37","63.9000","19.5000","1.4000"
"Israel","36.9000","74.2000","25.8000","19.5000"
"Cambodia","36.6000","70","",""
"Latvia","36.3000","53.6000","25.2000","0.9000"
"Pakistan","36.2000","52.6000","3.7000","39.7000"
"Armenia","36","58.3000","5.7000","13.5000"
"Morocco","35.7000","81.4000","",""
"Portugal","34.8000","70.9000","21.2000","13.5000"
"Senegal","34.8000","69.8000","2.4000","67.5000"
"Estonia","34.7000","56.4000","22.1000","12.5000"
"Spain","34.3000","65.7000","30.7000","15.3000"
"Lithuania","34.2000","51.6000","18.2000","2.7000"
"Kyrgyzstan","34.1000","62.9000","4.4000","23.3000"
"Serbia","34","54.2000","11.3000","1.4000"
"Bulgaria","33.9000","52.9000","15.3000","3.8000"
"Moldova","33.7000","47.9000","8.5000","1.4000"
"Tunisia","33.3000","69.1000","7.7000","9.1000"
"Italy","33.3000","66","34.3000","13.7000"
"Greece","33.2000","67.7000","18.4000","14.8000"
"Australia","33.2000","65.2000","44.4000","12.8000"
"Romania","33","62.3000","8.7000","4.5000"
"United Kingdom","32.8000","73.5000","39.4000","10.9000"
"New Zealand","32.5000","72.3000","18.4000","10.9000"
"Mali","32.3000","64.5000","2","79"
"Algeria","32.2000","75.8000","7.2000","3.9000"
"Poland","32.1000","71.7000","20.5000","0.3000"
"Sierra Leone","32","58.7000","1.9000","81.3000"
"Burundi","31.6000","56.3000","1.3000","90.1000"
"Canada","31.2000","73.5000","49.2000","12.6000"
"South Korea","30.7000","70","34.2000","13.8000"
"Mauritania","30.3000","62.3000","4.9000","23.6000"
"Ireland","30.3000","81.3000","38","9.2000"
"France","29.9000","70.2000","44.7000","8.2000"
"Japan","29.9000","60.9000","34.8000","16.1000"
"Croatia","29.3000","49.8000","15.9000","1.9000"
"Switzerland","29.3000","69.4000","55.6000","7.8000"
"Germany","29","79.1000","45.3000","9.5000"
"Kazakhstan","28.8000","92.6000","9.8000","0.4000"
"Hungary","28.7000","45.3000","18.2000","1"
"Azerbaijan","28.6000","51","8.5000","2.7000"
"Luxembourg","28.4000","68.1000","61.8000","8.1000"
"Austria","27.8000","78.8000","49.2000","9"
"Netherlands","26.6000","73","43.3000","7.9000"
"Ukraine","26.3000","90.1000","10.2000","0.5000"
"Slovakia","26.1000","46.3000","8.7000","8.7000"
"Slovenia","25.9000","55.1000","30.9000","9.4000"
"Belgium","25.9000","63","43.8000","9.1000"
"Sweden","25.7000","83.4000","48.3000","8"
"Finland","25.6000","76.7000","43.5000","6.3000"
"Czech Republic","25.6000","64.8000","24.3000","5.9000"
"Denmark","25.3000","80.9000","44.7000","5.5000"
"Norway","24.9000","80.5000","63.8000","8.1000"
"Iceland","24.4000","46.7000","43.4000","6.5000"
